name,diagram,fingering,notes,degrees
A,x 0 2 2 2 x,x 0 1 1 1 x,x A E A C# x,x 1 5 1 3 x
A,x 0 2 2 2 0,x 0 2 1 3 0,x A E A C# E,x 1 5 1 3 5
A/C#,x 4 2 2 2 x,x 3 1 1 1 x,x C# E A C# x,x 3 5 1 3 x
A7,x 0 2 0 2 0,x 0 2 0 3 0,x A E G C# E,x 1 5 b7 3 5
A7,x 0 2 2 2 3,x 0 1 1 1 3,x A E A C# G,x 1 5 1 3 b7
Am,x 0 2 2 1 0,x 0 2 3 1 0,x A E A C E,x 1 5 1 b3 5
Am7/G,3 0 2 0 1 0,3 0 2 0 1 0,G A E G C E,b7 1 5 b7 b3 5
Am7,x 0 2 0 1 0,x 0 2 0 1 0,x A E G C E,x 1 5 b7 b3 5
Asus2,x 0 2 2 0 0,x 0 2 3 0 0,x A E A B E,x 1 5 1 2 5
Asus4,x 0 2 2 3 0,x 0 1 2 4 0,x A E A D E,x 1 5 1 4 5
Amaj7,x 0 2 1 2 0,x 0 2 1 3 0,x A E G# C# E,x 1 5 7 3 5
Amaj7,5 x 6 6 5 x,1 x 3 4 2 x,A x G# C# E x,1 x 7 3 5 x
B,x 2 4 4 4 2,x 1 3 3 3 1,x B F# B D# F#,x 1 5 1 3 5
B,x 2 4 4 4 x,x 1 3 3 3 x,x B F# B D# x,x 1 5 1 3 x
Bm,x 2 4 4 3 2,x 1 3 4 2 1,x B F# B D F#,x 1 5 1 b3 5
B7,x 2 1 2 0 2,x 2 1 3 0 4,x B D# A B F#,x 1 3 b7 1 5
Bm7,x 2 0 2 0 2,x 2 0 3 0 4,x B D A B F#,x 1 b3 b7 1 5
Bm7/A,x 0 4 4 3 2,x 0 3 4 2 1,x A F# B D F#,x 7 5 1 b3 5
Bsus2,x 2 4 4 2 2,x 1 3 4 1 1,x B F# B C# F#,x 1 5 1 2 5
C,x 3 2 0 1 0,x 3 2 0 1 0,x C E G C E,x 1 3 5 1 3
C/G,3 3 2 0 1 0,3 4 2 0 1 0,G C E G C E,5 1 3 5 1 3
C/E,0 3 2 0 1 0,0 3 2 0 1 0,E C E G C E,3 1 3 5 1 3
C/E,0 x 2 0 1 0,0 x 2 0 1 0,E x E G C E,3 x 3 5 1 3
Cmaj7/B,x 2 2 0 1 0,x 2 3 0 1 0,x B E G C E,x 7 3 5 1 3
Cmaj7/B,x 2 x 0 1 0,x 2 x 0 1 0,x B x G C E,x 7 x 5 1 3
C7,x 3 2 3 1 0,x 3 2 4 1 0,x C E Bb C E,x 1 3 b7 1 3
Csus2,x 3 0 0 1 3,x 3 0 0 1 4,x C D G C G,x 1 2 5 1 5
Csus4,x 3 3 0 1 x,x 3 4 0 1 x,x C F G C x,x 1 4 5 1 x
Csus4,x 3 3 0 1 1,x 3 4 0 1 1,x C F G C F,x 1 4 5 1 4
Cadd4,x 3 3 0 1 0,x 3 4 0 1 0,x C F G C E,x 1 3 5 1 3
Cadd9,x 3 2 0 3 3,x 2 1 0 3 4,x C E G D G,x 1 3 5 9 5
D,x x 0 2 3 2,x x 0 1 3 2,x x D A D F#,x x 1 5 1 3
D/F#,2 x 0 2 3 x,1 x 0 2 3 x,F# x D A D x,3 x 1 5 1 x
D7,x x 0 2 1 2,x x 0 2 1 3,x x D A C F#,x x 1 5 b7 3
D7/F#,2 x 0 2 1 2,2 x 0 3 1 4,F# x D A C F#,3 x 1 5 b7 3
Dm,x x 0 2 3 1,x x 0 2 4 1,x x D A D F,x x 1 5 1 b3
Dm7,x x 0 2 1 1,x x 0 2 1 1,x x D A C F,x x 1 5 b7 b3
Dmaj7,x x 0 2 2 2,x x 0 1 1 1,x x D A C# F#,x x 1 5 7 3
Dsus2,x x 0 2 3 0,x x 0 1 3 0,x x D A D E,x x 1 5 1 2
Dsus4,x x 0 2 3 3,x x 0 1 3 4,x x D A D G,x x 1 5 1 4
Daug,x x 0 3 3 2,x x 0 2 3 1,x x D A# D F#,x x 1 #5 1 3
E,0 2 2 1 0 0,0 2 3 1 0 0,E B E G# B E,1 5 1 3 5 1
E7,0 2 0 1 0 0,0 2 0 1 0 0,E B D G# B E,1 5 b7 3 5 1
E7,0 2 2 1 3 0,0 2 3 1 4 0,E B E G# D E,1 5 1 3 b7 1
Em,0 2 2 0 0 0,0 2 3 0 0 0,E B E G B E,1 5 1 b3 5 1
Em7,0 2 2 0 3 3,0 1 2 0 3 4,E B E G D G,1 5 1 b3 b7 b3
Esus4,0 2 2 2 0 0,0 2 3 4 0 0,E B E A B E,1 5 1 4 5 1
F,1 3 3 2 1 1,1 3 4 2 1 1,F C F A C F,1 5 1 3 5 1
F,x x 3 2 1 1,x x 3 2 1 1,x x F A C F,x x 1 3 5 1
F/C,x 3 3 2 1 1,x 3 4 2 1 1,x C F A C F,x 5 1 3 5 1
F7,1 3 1 2 1 1,1 3 1 2 1 1,F C Eb A C F,1 5 b7 3 5 1
Fm,1 3 3 1 1 1,1 3 4 1 1 1,F C F Ab C F,1 5 1 b3 5 1
Fm7,1 3 1 1 1 1,1 3 1 1 1 1,F C Eb Ab C F,1 5 b7 b3 5 1
Fmaj7,x x 3 2 1 0,x x 3 2 1 0,x x F A C E,x x 1 3 5 7
Fsus2,x x 3 0 1 1,x x 3 0 1 1,x x F G C F,x x 1 2 5 1
G,3 2 0 0 3 3,2 1 0 0 3 4,G B D G D G,1 3 5 1 5 1
G,3 2 0 0 0 3,2 1 0 0 0 4,G B D G B G,1 3 5 1 3 1
G,3 x 0 0 0 3,3 x 0 0 0 4,G x D G B G,1 x 5 1 3 1
G5,3 x 0 0 3 3,2 x 0 0 3 4,G x D G D G,1 x 5 1 5 1
G/B,x 2 0 0 3 3,x 1 0 0 3 4,x B D G D G,x 3 5 1 5 1
G/B,x 2 0 0 3 x,x 2 0 0 4 x,x B D G D x,x 3 5 1 5 x
G/C,x 3 0 0 0 3,x 3 0 0 0 4,x C D G B G,x 4 5 1 3 1
Gmaj7/F#,2 2 0 0 3 3,1 2 0 0 3 4,F# B D G D G,7 3 5 1 5 1
G7,3 2 0 0 0 1,3 2 0 0 0 1,G B D G B F,1 3 5 1 3 b7
Gsus4,3 x 0 0 1 3,3 x 0 0 1 4,G x D G C G,1 x 5 1 4 1
